X,Y,Z,formation
4475149.75,1667486.811,1201.53,B3
4475242.728,1667597.345,1207.3,B3
4475345.151,1667719.109,1215.751,B3
4475456.642,1667851.65,1226.295,B3
4475575.15,1667992.533,1238.483,B3
4475698.417,1668139.074,1251.889,B3
4475824.184,1668288.586,1266.087,B3
4475950.192,1668438.385,1280.653,B3
4476074.182,1668585.783,1295.16,B3
4476194.036,1668728.264,1309.202,B3
4476309.184,1668865.15,1322.595,B3
4476420.01,1668996.898,1335.288,B3
4476526.91,1669123.979,1347.235,B3
4476630.281,1669246.865,1358.388,B3
4476730.521,1669366.026,1368.702,B3
4476828.025,1669481.935,1378.129,B3
4476922.84,1669594.649,1386.695,B3
4477014.106,1669703.143,1394.604,B3
4477100.816,1669806.22,1402.091,B3
4477181.961,1669902.683,1409.393,B3
4477256.536,1669991.333,1416.748,B3
4477323.532,1670070.974,1424.391,B3
4477382.045,1670140.531,1432.538,B3
4477432.693,1670200.74,1441.098,B3
4477477.249,1670253.706,1449.746,B3
4477517.514,1670301.571,1458.148,B3
4477555.29,1670346.477,1465.976,B3
4477592.376,1670390.563,1472.896,B3
4477630.574,1670435.97,1478.579,B3
4477671.144,1670484.196,1482.687,B3
4477713.565,1670534.623,1484.844,B3
4477756.951,1670586.199,1484.672,B3
4477800.42,1670637.872,1481.792,B3
4477843.084,1670688.588,1475.825,B3
4477884.058,1670737.295,1466.394,B3
4477922.483,1670782.971,1453.154,B3
4477958.043,1670825.244,1436.39,B3
4477990.936,1670864.346,1416.976,B3
4478021.376,1670900.53,1395.811,B3
4478049.575,1670934.051,1373.794,B3
4478075.747,1670965.163,1351.823,B3
4478100.105,1670994.117,1330.796,B3
4478122.836,1671021.139,1311.438,B3
4478144.03,1671046.333,1293.75,B3
4478163.749,1671069.772,1277.543,B3
4478182.052,1671091.53,1262.626,B3
4478199.003,1671111.68,1248.811,B3
4478214.662,1671130.294,1235.909,B3
4478229.092,1671147.446,1223.731,B3
4478242.408,1671163.276,1212.133,B3
4478254.791,1671177.995,1201.018,B3
4478266.424,1671191.825,1190.29,B3
4478277.49,1671204.98,1179.855,B3
4478288.174,1671217.679,1169.618,B3
4478298.659,1671230.143,1159.482,B3
4472213.713,1663179.787,1762.843,B3
4472270.039,1663300.211,1770.807,B3
4472326.51,1663420.946,1778.663,B3
4472383.271,1663542.299,1786.303,B3
4472440.466,1663664.582,1793.621,B3
4472498.242,1663788.104,1800.507,B3
4472556.742,1663913.177,1806.856,B3
4472616.113,1664040.108,1812.559,B3
4472676.498,1664169.209,1817.509,B3
4472738.043,1664300.789,1821.598,B3
4472800.894,1664435.158,1824.719,B3
4472865.105,1664572.435,1826.819,B3
4472930.429,1664712.092,1828.035,B3
4472996.556,1664853.465,1828.54,B3
4473063.175,1664995.89,1828.509,B3
4473129.975,1665138.702,1828.117,B3
4473196.648,1665281.238,1827.539,B3
4473262.88,1665422.833,1826.95,B3
4473328.362,1665562.824,1826.524,B3
4473392.783,1665700.547,1826.436,B3
4473455.833,1665835.337,1826.86,B3
4473517.302,1665966.748,1827.908,B3
4473577.283,1666094.977,1829.489,B3
4473635.918,1666220.328,1831.483,B3
4473693.349,1666343.105,1833.769,B3
4473749.72,1666463.615,1836.225,B3
4473805.173,1666582.162,1838.731,B3
4473859.852,1666699.054,1841.167,B3
4473913.899,1666814.593,1843.41,B3
4473967.457,1666929.087,1845.34,B3
4474020.667,1667042.84,1846.837,B3
4474073.695,1667156.198,1847.832,B3
4474126.748,1667269.614,1848.385,B3
4474180.046,1667383.55,1848.579,B3
4474233.803,1667498.47,1848.493,B3
4474288.24,1667614.839,1848.208,B3
4474343.571,1667733.121,1847.806,B3
4474400.013,1667853.78,1847.366,B3
4474457.785,1667977.28,1846.969,B3
4474517.104,1668104.085,1846.696,B3
4474578.185,1668234.658,1846.629,B3
4474641.066,1668369.077,1846.802,B3
4474705.411,1668506.626,1847.16,B3
4474770.838,1668646.485,1847.636,B3
4474836.962,1668787.837,1848.163,B3
4474903.402,1668929.862,1848.673,B3
4474969.776,1669071.744,1849.1,B3
4475035.698,1669212.661,1849.375,B3
4475100.787,1669351.798,1849.432,B3
4475164.66,1669488.335,1849.203,B3
4475226.937,1669621.458,1848.622,B3
4475287.477,1669750.868,1847.664,B3
4475346.573,1669877.191,1846.374,B3
4475404.562,1670001.147,1844.806,B3
4475461.783,1670123.457,1843.012,B3
4475518.569,1670244.843,1841.047,B3
4475575.261,1670366.024,1838.965,B3
4475632.194,1670487.722,1836.818,B3
4475689.706,1670610.656,1834.661,B3
4475748.134,1670735.548,1832.548,B3
4475807.814,1670863.116,1830.532,B3
4475868.99,1670993.881,1828.629,B3
4475931.766,1671128.065,1826.787,B3
4475996.234,1671265.863,1824.952,B3
4476062.483,1671407.472,1823.072,B3
4476130.608,1671553.087,1821.092,B3
4476200.697,1671702.903,1818.959,B3
4476272.846,1671857.115,1816.618,B3
4476347.141,1672015.919,1814.016,B3
4476423.679,1672179.513,1811.099,B3
4476502.542,1672348.079,1807.816,B3
4476583.645,1672521.429,1804.181,B3
4476666.666,1672698.88,1800.294,B3
4476751.269,1672879.709,1796.262,B3
4476837.115,1673063.197,1792.194,B3
4476923.869,1673248.623,1788.197,B3
4477011.192,1673435.265,1784.378,B3
4477098.749,1673622.405,1780.845,B3
4477186.201,1673809.32,1777.706,B3
4477273.211,1673995.291,1775.068,B3
4477359.443,1674179.594,1773.039,B3
4477444.549,1674361.491,1771.671,B3
4477528.177,1674540.229,1770.952,B3
4477609.972,1674715.048,1770.869,B3
4477689.58,1674885.193,1771.408,B3
4477766.647,1675049.904,1772.556,B3
4477840.817,1675208.427,1774.3,B3
4477911.739,1675360.002,1776.625,B3
4477979.054,1675503.873,1779.52,B3
4478042.412,1675639.281,1782.969,B3
4478101.471,1675765.504,1786.959,B3
4478156.263,1675882.604,1791.435,B3
4478207.182,1675991.429,1796.303,B3
4478254.64,1676092.858,1801.471,B3
4478299.05,1676187.77,1806.845,B3
4478340.822,1676277.045,1812.329,B3
4478380.369,1676361.562,1817.83,B3
4478418.101,1676442.202,1823.253,B3
4478454.429,1676519.842,1828.506,B3
4478489.766,1676595.362,1833.493,B3
4478524.511,1676669.62,1838.123,B3
4478558.886,1676743.084,1842.3,B3
4478592.953,1676815.888,1845.928,B3
4478626.766,1676888.155,1848.914,B3
4478660.387,1676960.006,1851.164,B3
4478693.871,1677031.564,1852.582,B3
4478727.274,1677102.951,1853.076,B3
4478760.653,1677174.288,1852.551,B3
4478794.068,1677245.698,1850.913,B3
4478827.573,1677317.304,1848.067,B3
4478861.215,1677389.202,1843.929,B3
4478894.892,1677461.173,1838.538,B3
4478928.39,1677532.761,1832.027,B3
4478961.49,1677603.501,1824.53,B3
4478993.978,1677672.928,1816.181,B3
4479025.633,1677740.578,1807.115,B3
4479056.24,1677805.988,1797.466,B3
4479085.581,1677868.692,1787.369,B3
4479113.439,1677928.227,1776.958,B3
4479139.596,1677984.128,1766.367,B3
4479163.873,1678036.008,1755.733,B3
4479186.517,1678084.4,1745.208,B3
4479208.049,1678130.416,1734.952,B3
4479228.995,1678175.179,1725.127,B3
4479249.882,1678219.814,1715.895,B3
4479271.234,1678265.445,1707.416,B3
4479293.578,1678313.195,1699.853,B3
