OBJECTID,ID_EstGrav,Tipo_EstGrav,Fecha,Coordenada_X,Coordenada_Y,Sistema_Coordenadas,Latitud,Longitud,Altura_Sobre_NivelMar,Altura_Elipsoidal,GravObs,GravTeor_Elip,GravTeor_Somig,Corr_AireLibre,Anom_AireLibre,CorrBouguer,AnomSimpleBouguer,AnomBouguerTotal,AnomRegional,AnomResidual,Estado,Equipo,AUTOR
55,1001,1,2/04/2019,4733091.517,2056492.891,9377,4.507297128,-75.40629015,,1954.45,977583.5755,978064.564,978064.564,603.14327,122.1547934,215.4467827,-93.2919893,-67.19520232,-65.99046414,-1.20473818,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
56,1002,1,2/04/2019,4733001.53,2056965.559,9377,4.511568467,-75.40711502,,1981.408,977578.0543,978064.6243,978064.6243,611.4625088,124.8924918,218.41847,-93.52597821,-70.95433618,-67.56908517,-3.385251009,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
57,1003,1,2/04/2019,4732903.468,2057445.212,9377,4.515902708,-75.40801287,,1990.299,977574.6432,978064.6856,978064.6856,614.2062714,124.1638675,219.3985603,-95.23469274,-69.51563677,-66.87238278,-2.643253989,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
58,1004,1,2/04/2019,4732884.868,2057954.18,9377,4.520504408,-75.40819565,,2023.524,977569.0439,978064.7507,978064.7507,624.4595064,128.7526698,223.0610839,-94.3084141,-72.54244834,-67.9990005,-4.543447837,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
59,1005,1,3/04/2019,4733015.573,2056311.956,9377,4.505658783,-75.40696903,,1952.983,977585.4489,978064.5408,978064.5408,602.6905538,123.5986067,215.2850694,-91.68646273,-67.18241167,-65.97794305,-1.204468617,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
60,1006,1,3/04/2019,4732834.901,2056687.861,9377,4.509052447,-75.40860808,,1964.5,977581.9249,978064.5888,978064.5888,606.2447,123.5808332,216.5546341,-92.97380087,-68.10316583,-66.28363558,-1.819530251,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
61,1007,1,3/04/2019,4732722.86,2057148.52,9377,4.513214517,-75.40963131,,1996.752,977574.7723,978064.6476,978064.6476,616.1976672,126.3223817,220.1099001,-93.7875184,-70.10976655,-67.20220754,-2.907559012,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
62,1008,1,3/04/2019,4732725.304,2057656.494,9377,4.517807853,-75.40962446,,2007.804,977571.4998,978064.7126,978064.7126,619.6083144,126.395553,221.3282059,-94.93265293,-71.13283515,-67.68172578,-3.451109367,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
63,1009,1,3/04/2019,4732616.519,2056339.144,9377,4.505892706,-75.41056532,,2194.241,977544.136,978064.5441,978064.5441,677.1427726,156.7346236,241.8798966,-85.14527299,-66.24546455,-65.39460696,-0.850857594,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
64,1010,1,3/04/2019,4732251.102,2056810.842,9377,4.510146997,-75.4138718,,2100.813,977556.2384,978064.6042,978064.6042,648.3108918,139.9450619,231.5809572,-91.63589528,-66.75924035,-65.49825195,-1.260988403,Inactiva,Scintrex CG-6 Autograv (S/N 17060015),SGC
